Quarter,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Research And Development,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Ticker,Total Unusual Items,Total Unusual Items Excluding Goodwill,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Gain On Sale Of Security,Rent Expense Supplemental,Rent And Landing Fees,Salaries And Wages,Earnings From Equity Interest,Total Other Finance Cost,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Insurance And Claims,Amortization,Amortization Of Intangibles Income Statement,Write Off,Other Taxes,Average Dilution Earnings,Gain On Sale Of Ppe,Minority Interests,Otherunder Preferred Stock Dividend,Securities Amortization,Gain On Sale Of Business,Earnings From Equity Interest Net Of Tax,Impairment Of Capital Assets,Preferred Stock Dividends,Net Income Discontinuous Operations,Depreciation Income Statement,Provision For Doubtful Accounts,Net Income From Tax Loss Carryforward
2023-09-30,-952510.358827,0.019822,253219000.0,147753000.0,23532000.0,84309000.0,205166000.0,181634000.0,-5468000.0,30893000.0,25425000.0,194853489.641173,147753000.0,536663000.0,213867000.0,131337000.0,125220000.0,1.15,1.18,147753000.0,147753000.0,147753000.0,147753000.0,147753000.0,2988000.0,150741000.0,-5468000.0,30893000.0,25425000.0,213867000.0,452354000.0,,253179000.0,199175000.0,,199175000.0,54187000.0,666221000.0,84309000.0,750530000.0,750530000.0,ALNY,-48053000.0,-48053000.0,-57658000.0,-9605000.0,0.0,,,-48053000.0,35007000.0,35007000.0,109981000.0,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,0.0,0.21,-220727000.0,-276024000.0,23447000.0,85370000.0,-220727000.0,-244174000.0,-8960000.0,30035000.0,21075000.0,-276024000.0,-276024000.0,548585000.0,-229831000.0,124659000.0,124659000.0,-2.21,-2.21,-276024000.0,-276024000.0,-276024000.0,-276024000.0,-276024000.0,1815000.0,-274209000.0,-8960000.0,30035000.0,21075000.0,-229831000.0,463215000.0,,248526000.0,214689000.0,,214689000.0,57848000.0,233384000.0,85370000.0,318754000.0,318754000.0,ALNY,,,-35418000.0,-35418000.0,,,,,38333000.0,38333000.0,118508000.0,,,,,,,,,,,,,,,,,,,,,,
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALNY,-8738000.0,-8738000.0,,,,,,-8738000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,-1659630.0,0.21,-6528000.0,29066000.0,,52383000.0,-14431000.0,-14431000.0,38361000.0,572000.0,38933000.0,35309370.0,29066000.0,521575000.0,-45461000.0,,,,,29066000.0,29066000.0,29066000.0,29066000.0,29066000.0,-44069000.0,-15003000.0,38361000.0,572000.0,38933000.0,-43940000.0,469192000.0,-11793000.0,225286000.0,254275000.0,,,,425252000.0,52383000.0,477635000.0,477635000.0,ARGX,-7903000.0,-7903000.0,-9424000.0,,,,,-7903000.0,,,,-1521000.0,,,,,,,,,,,,,,,,,,,,,
2024-03-31,-3312520.995293,0.171527,-54526000.0,-61597000.0,,43178000.0,-73838000.0,-73838000.0,38383000.0,512000.0,38895000.0,-45597520.995293,-61597000.0,492630000.0,-93421000.0,59309996.0,59309996.0,-1.04,-1.04,-61597000.0,-61597000.0,-61597000.0,-61597000.0,-61597000.0,-12753000.0,-74350000.0,38383000.0,512000.0,38895000.0,-91629000.0,449452000.0,-11512000.0,224969000.0,235995000.0,,,,357823000.0,43178000.0,401001000.0,401001000.0,ARGX,-19312000.0,-19312000.0,-21104000.0,,,,,-19312000.0,,,,-1792000.0,,,,,,,,,,,,,,,,,,,,,
2023-12-31,10886400.0,0.21,-112740000.0,-99172000.0,,39477000.0,-60900000.0,-60900000.0,25606000.0,278000.0,25884000.0,-140125600.0,-99172000.0,543673000.0,-138624000.0,,,,,-99172000.0,-99172000.0,-99172000.0,-99172000.0,-99172000.0,37994000.0,-61178000.0,25606000.0,278000.0,25884000.0,-136836000.0,504196000.0,-11003000.0,306373000.0,206460000.0,,,,367360000.0,39477000.0,406837000.0,401304000.0,ARGX,51840000.0,51840000.0,50052000.0,,,,,51840000.0,,,,-1788000.0,,,,,,,,,,,,,,,,,,,,,
2023-09-30,-4152286.086528,0.127727,-50539000.0,-72642000.0,,35999000.0,-83048000.0,-83048000.0,29818000.0,231000.0,30049000.0,-44285286.086528,-72642000.0,409634000.0,-80588000.0,58128233.0,58128233.0,-1.25,-1.25,-72642000.0,-72642000.0,-72642000.0,-72642000.0,-72642000.0,-10637000.0,-83279000.0,29818000.0,231000.0,30049000.0,-79845000.0,373635000.0,-10050000.0,191755000.0,191930000.0,,,,293790000.0,35999000.0,329789000.0,329789000.0,ARGX,-32509000.0,-32509000.0,-33252000.0,,,,,-32509000.0,,,,-743000.0,,,,,,,,,,,,,,,,,,,,,
2023-06-30,-420210.0,0.21,-81653000.0,-94368000.0,,24024000.0,-83654000.0,-83654000.0,20234000.0,207000.0,20441000.0,-92787210.0,-94368000.0,371026000.0,-102094000.0,,,,,-94368000.0,-94368000.0,-94368000.0,-94368000.0,-94368000.0,10507000.0,-83861000.0,20234000.0,207000.0,20441000.0,-100476000.0,347002000.0,-10485000.0,195509000.0,160895000.0,,,,246526000.0,24024000.0,270550000.0,270550000.0,ARGX,-2001000.0,-2001000.0,-3620000.0,,,,,-2001000.0,,,,-1619000.0,,,,,,,,,,,,,,,,,,,,,
2023-03-31,,,,,,,,,,,,,,,,55555186.0,55555186.0,-0.52,-0.52,,,,,,,,,,,,,,,,,,,,,,,ARGX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,0.0,0.15,-748600000.0,-807800000.0,49900000.0,59800000.0,-748600000.0,-798500000.0,160400000.0,7300000.0,167700000.0,-807800000.0,-807800000.0,1094900000.0,-966200000.0,240416667.0,240416667.0,-3.36,-3.36,-807800000.0,-807800000.0,-807800000.0,-807800000.0,-807800000.0,2000000.0,-805800000.0,160400000.0,7300000.0,167700000.0,-966200000.0,1035100000.0,266700000.0,584600000.0,183800000.0,12900000.0,170900000.0,170900000.0,68900000.0,59800000.0,128700000.0,128700000.0,BNTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
